title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
"겨울, 청계천의 빛",서울특별시 중구 태평로1가 1,126.9776154729,37.5691317067,02-904-1159,A02,A0207,A02070200,2785797,15,행사/공연/축제
겸재문화예술제,서울특별시 강서구 양천로 291 (마곡동),126.8366643489,37.5722343802,"02-2659-2207, 02-2600-6581",A02,A0207,A02070200,2490376,15,행사/공연/축제
경복궁 별빛야행,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,1522-2295,A02,A0207,A02070200,2648460,15,행사/공연/축제
경북 WOW(와)보이소,서울특별시 중구 태평로1가,126.9777682330,37.5692566951,02-797-8760,A02,A0207,A02070200,3495363,15,행사/공연/축제
경상북도사과홍보행사,서울특별시 중구 을지로 지하12 (을지로1가),126.9787960237,37.5655015943,대구경북능금농협 053-740-3033 <br>경상북도 친환경농업과 054-880-3372,A02,A0207,A02070200,2622167,15,행사/공연/축제
경춘선 공릉숲길 커피축제,서울특별시 노원구 동일로 지하1074 (공릉동),127.0730218414,37.6255296448,02-976-9110<br>02-2116-3488,A02,A0207,A02070200,3114588,15,행사/공연/축제
고메 잇 강남 서울야장,서울특별시 강남구 영동대로 513 (삼성동),127.0592179950,37.5119175967,070-7734-7796,A02,A0207,A02070200,3524418,15,행사/공연/축제
공공미술 빛조각축제 <노원 달빛산책>,서울특별시 노원구 동일로 지하1308-1 (중계동),127.0642637521,37.6449411189,02-2289-3473,A02,A0207,A02070200,2862358,15,행사/공연/축제
공공한옥 밤마실,서울특별시 종로구 계동길 37 (계동),126.9867060298,37.5790529392,02-741-1033,A02,A0207,A02070200,3490789,15,행사/공연/축제
관악강감찬축제,서울특별시 관악구 낙성대로 77 (봉천동),126.9587338341,37.4716399155,02-828-5767,A02,A0207,A02070100,2612274,15,행사/공연/축제
관악별빛산책,서울특별시 관악구 신림동 1642-7,126.9276196866,37.4827825101,"02-879-5781, 02-2174-4550",A02,A0207,A02070200,2778088,15,행사/공연/축제
관악청년축제,서울특별시 관악구 신원로 35 삼모 더 프라임 타워,126.9290390137,37.4823659172,010-2120-9806,A02,A0207,A02070200,3004330,15,행사/공연/축제
광무대 목요풍류,서울특별시 종로구 종로 272 (종로6가),127.0081070890,37.5708709408,02-580-3276,A02,A0208,A02080100,3484037,15,행사/공연/축제
광복 80년 기념 빛 축제,서울특별시 종로구 세종대로 지하172 (세종로),126.9767821434,37.5716786179,044-202-5539,A02,A0207,A02070200,3520789,15,행사/공연/축제
광복 80년 전야제 - 대한이 살았다!,서울특별시 영등포구 의사당대로 1 (여의도동),126.9166304856,37.5294241180,010-8311-5791,A02,A0207,A02070200,3518539,15,행사/공연/축제
광복 80주년 기념 '강제동원 희생자의 길을 걷다',서울특별시 종로구 종로1길 45 (세종로),126.9783985779,37.5746727436,02-721-1822,A02,A0208,A02081300,3498398,15,행사/공연/축제
광복 80주년 서울시 기념사업,서울특별시 중구 세종대로 110 (태평로1가),126.9777210995,37.5662570431,02-2133-7755,A02,A0208,A02081300,3518593,15,행사/공연/축제
광진 생활문화예술축제,서울특별시 광진구 능동로 216 (능동),127.0762792676,37.5493552228,02-450-7573,A02,A0207,A02070200,3379253,15,행사/공연/축제
구로G페스티벌,서울특별시 구로구 구로동,126.8705493966,37.5001766935,02-860-2282,A02,A0207,A02070200,2039869,15,행사/공연/축제
구로청소년축제,서울특별시 구로구 구로중앙로 48 (구로동),126.8900783422,37.4941610735,02-860-2140,A02,A0207,A02070200,2618971,15,행사/공연/축제
굿즈이즈굿V.2,서울특별시 강서구 마곡중앙로 143 (마곡동),126.8254071964,37.5667792585,02-2602-8601,A02,A0208,A02081300,3051471,15,행사/공연/축제
궁궐 일상모습 재현 및 체험,서울특별시 종로구 창경궁로 185 창경궁,126.9964634775,37.5789336838,1522-2295,A02,A0208,A02081300,2859976,15,행사/공연/축제
궁중문화축전,서울특별시 종로구 사직로 161,126.9769930325,37.5788222356,1522-2295,A02,A0207,A02070200,1998564,15,행사/공연/축제
귀어귀촌 어촌관광 한마당,서울특별시 종로구 세종대로 175 (세종로),126.9763210635,37.5720618985,070-4419-9558,A02,A0207,A02070200,3495688,15,행사/공연/축제
그루브 인 관악,서울특별시 관악구 관천로 53 (신림동),126.9257892588,37.4841656500,02-828-5764,A02,A0207,A02070200,2826964,15,행사/공연/축제
"근현대사 추리여행, '사라진 열쇠를 찾아라'",서울특별시 강북구 삼양로 561,127.0122877055,37.6530781245,02-901-6213,A02,A0208,A02081300,2592414,15,행사/공연/축제
금천청년축제,서울특별시 금천구 시흥대로73길 70 (시흥동),126.8955205706,37.4564933229,02-2627-2583,A02,A0207,A02070200,3370146,15,행사/공연/축제
금천패션영화제,서울특별시 금천구 디지털로10길 9 (가산동),126.8890705637,37.4776713039,070-4118-3352,A02,A0208,A02081100,2874304,15,행사/공연/축제
금천하모니축제,서울특별시 금천구 시흥대로73길 70 (시흥동),126.8955205706,37.4564933229,070-4114-6351<br>070-4118-3352,A02,A0207,A02070200,2761411,15,행사/공연/축제
낙원 생활문화축제,서울특별시 종로구 삼일대로 428 (낙원동),126.9880310857,37.5728259087,02-6959-8323,A02,A0207,A02070200,3400753,15,행사/공연/축제
난타,서울특별시 중구 명동길 26 (명동2가),126.9837650716,37.5635046937,,A02,A0208,A02081400,406745,15,행사/공연/축제
남산골 한가위축제 삼삼오락,서울특별시 중구 퇴계로34길 28,126.9940114847,37.5591026107,02-6358-5533,A02,A0207,A02070200,615780,15,행사/공연/축제
남산봉수의식 등 전통문화행사,서울특별시 종로구 종로 54 (관철동),126.9836898995,37.5698206245,02-6462-7405,A02,A0208,A02080100,2809535,15,행사/공연/축제
노원수제맥주축제,서울특별시 노원구 화랑로 608 (공릉동),127.0931061506,37.6245051267,"02-2289-3478, 3447",A02,A0207,A02070200,3520705,15,행사/공연/축제
다붓다붓 전라남도 미디어아트 쇼룸,서울특별시 성동구 성수일로10가길 18 (성수동2가),127.0526342238,37.5484715664,010-3397-0656,A02,A0208,A02081300,3412907,15,행사/공연/축제
대한민국 김장김치축제,서울특별시 중구 퇴계로34길 28 (필동2가),126.9932865315,37.5597775194,02-6404-0166,A02,A0207,A02070200,3380198,15,행사/공연/축제
대한민국 우리술 대축제,서울특별시 서초구 강남대로 27 AT센터,127.0407514903,37.4673918780,02-6952-9497~8,A02,A0207,A02070200,2769990,15,행사/공연/축제
대한민국 청년의 날 축제,서울특별시 종로구 대학로 104 (동숭동),127.0023878907,37.5805669329,02-780-3939,A02,A0207,A02070200,2412052,15,행사/공연/축제
대한민국은 공연중,서울특별시 중구 장충단로 59 (장충동2가),127.0000222551,37.5518007890,02-708-2230,A02,A0208,A02081300,3380134,15,행사/공연/축제
댄싱노원 거리페스티벌,서울특별시 노원구 노해로 487-3 (상계동),127.0621664390,37.6548371522,02-2289-3464,A02,A0207,A02070200,2554931,15,행사/공연/축제
덕수궁 밤의 석조전,서울특별시 중구 세종대로 99,126.9749296905,37.5661486714,1522-2295 (궁능 활용 프로그램 전화 상담실),A02,A0207,A02070200,2756396,15,행사/공연/축제
도곡 메타세콰이아 로드 페스타,서울특별시 강남구 도곡동,127.0471199253,37.4826096707,02-3423-7552,A02,A0207,A02070200,3018924,15,행사/공연/축제
도봉옛길 문화제,서울특별시 도봉구 도봉동,127.0486721864,37.6912271199,02-905-4026,A02,A0207,A02070200,2725188,15,행사/공연/축제
도봉한글잔치,서울특별시 도봉구 해등로32가길 16 (방학동),127.0222810312,37.6603441259,02-905-4026,A02,A0207,A02070200,2601242,15,행사/공연/축제
도서관의 날 · 도서관주간,서울특별시 서초구 반포대로 201 (반포동),127.0045483736,37.4976821568,070-5159-5447,A02,A0207,A02070200,3093268,15,행사/공연/축제
동대문구 맥주축제,서울특별시 동대문구 장안동,127.0753483058,37.5666448642,02-3295-5568,A02,A0207,A02070200,3351268,15,행사/공연/축제
동대문구 봄꽃축제,서울특별시 동대문구 장안동,127.0753566318,37.5668642825,02-2127-4711,A02,A0207,A02070200,1592837,15,행사/공연/축제
동대문페스티벌 이동무대,서울특별시 동대문구 천호대로 405 (장안동),127.0641966734,37.5620646394,02-3295-5566,A02,A0207,A02070200,3380650,15,행사/공연/축제
동심한마당,서울특별시 영등포구 의사당대로 1,126.9141334174,37.5320321034,02-595-3325,A02,A0207,A02070200,985816,15,행사/공연/축제
동작댄싱데이 페스티벌,서울특별시 동작구 노들로 688 (노량진동),126.9401731800,37.5154094998,070-7204-3250,A02,A0207,A02070200,3370427,15,행사/공연/축제
디자인코리아 2024,서울특별시 강남구 영동대로 513 (삼성동),127.0592179950,37.5119175967,031-780-2102,A02,A0208,A02080500,2553907,15,행사/공연/축제
라틴아메리카 축제,서울특별시 성북구 삼선교로 지하1 (삼선동1가),127.0059567862,37.5884549695,"02-2241-6381,3,4",A02,A0207,A02070200,1684988,15,행사/공연/축제
릴랙스위크,서울특별시 강남구 남부순환로 3104 SETEC,127.0707673919,37.4960890861,02-2231-2011,A02,A0207,A02070200,2755544,15,행사/공연/축제
마포구 레드로드발전소 체험프로그램,서울특별시 마포구 와우산로37길 35 (동교동),126.9290369242,37.5564989709,02-458-3315,A02,A0208,A02081300,3457358,15,행사/공연/축제
매직드로잉 가족극 〈두들팝〉,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",126.9136829551,37.5498911308,1600-8534,A02,A0208,A02081300,3114538,15,행사/공연/축제
매헌시민의숲 가을축제,서울특별시 서초구 매헌로 99 (양재동),127.0368379074,37.4691610476,02-460-2943,A02,A0207,A02070200,3402911,15,행사/공연/축제
"명동스퀘어 오프닝 세레모니 2024 Light Up SEOUL, KOREA",서울특별시 중구 소공로 70 (충무로1가),126.9821847125,37.5616521023,"02-3396-5714, 1588-1234",A02,A0208,A02081300,3402650,15,행사/공연/축제
무브살롱 시즌4: 벚꽃 아틀리에,서울특별시 서초구 양재동,127.0381848379,37.4751548200,070-4266-5367,A02,A0207,A02070200,3107440,15,행사/공연/축제
무비스파크 필름 페스티벌 (Moviespark Film Festival),서울특별시 마포구 동교로22길 14 (서교동),126.9188323376,37.5551295032,070-7762-1107,A02,A0208,A02081100,3343440,15,행사/공연/축제
문학주간 2025,서울특별시 종로구 대학로 104 (동숭동),127.0023878907,37.5805669329,070-4571-5215,A02,A0208,A02081300,2556687,15,행사/공연/축제
문화가 있는 날 청춘마이크 수도강원권,서울특별시 서초구 반포동,126.9980013443,37.5119526047,070-4248-9838,A02,A0208,A02081000,3492276,15,행사/공연/축제
"미지,세계와의 만남",서울특별시 광진구 능동로 216 어린이대공원,127.0762792676,37.5493552228,070-4667-3782,A02,A0207,A02070200,2873622,15,행사/공연/축제
박물관 미술관 주간,서울특별시 용산구 서빙고로 137 (용산동6가),126.9791278024,37.5211706397,02-795-0959,A02,A0208,A02081300,3486451,15,행사/공연/축제
반짝반짝 DDP (Twinkle DDP),서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.5661076320,02-2153-0089,A02,A0208,A02081300,3425400,15,행사/공연/축제
북촌의 날,서울특별시 종로구 계동길 37,126.9862893990,37.5791307002,02-741-1033,A02,A0207,A02070200,2753551,15,행사/공연/축제
브릿지워크한강,서울특별시 영등포구 노들로 113 양화개나리점,126.8933655127,37.5445580545,070-4705-2008,A02,A0208,A02081200,2503125,15,행사/공연/축제
뿅뿅! 청춘오락실 : 샤로수길 청춘들의 다섯가지 즐거움,서울특별시 관악구 관악로14길 22 (봉천동),126.9537812982,37.4790639653,02-554-9795,A02,A0208,A02081300,3499827,15,행사/공연/축제
사와 랑은 물에 산다,서울특별시 종로구 동숭길 74 (동숭동),127.0043182417,37.5815862941,Instagram. @geulinght_me<br>Mail. cy9232@naver.com,A02,A0208,A02080200,3333908,15,행사/공연/축제
사찰음식 대축제,서울특별시 서초구 강남대로 27 (양재동),127.0407514903,37.4673918780,02-6433-4808,A02,A0208,A02080500,3493708,15,행사/공연/축제
샤로수길 로컬 in 스테이 페스티벌,서울특별시 관악구 관악로14길 76 (봉천동),126.9566477258,37.4783029934,070-5029-5597,A02,A0207,A02070200,3376240,15,행사/공연/축제
서대문 문화유산 야행,서울특별시 서대문구 통일로 251 (현저동),126.9573421635,37.5746723659,070-7575-2352/2353,A02,A0207,A02070200,2733405,15,행사/공연/축제
서대문 봄빛축제,서울특별시 서대문구 홍은동,126.9370688057,37.5819600437,02-330-1410,A02,A0207,A02070200,3483727,15,행사/공연/축제
"서대문, 1919 그날의 함성!",서울특별시 서대문구 통일로 251 (현저동),126.9573421635,37.5746723659,02-330-1410,A02,A0207,A02070200,1895366,15,행사/공연/축제
서대문독립축제,서울특별시 서대문구 통일로 251 (현저동),126.9573421635,37.5746723659,02-330-1410,A02,A0207,A02070200,1847202,15,행사/공연/축제
서리풀뮤직페스티벌,서울특별시 서초구 서초대로 233 서초역,127.0076093702,37.4918773303,02-3477-2808,A02,A0207,A02070200,2759788,15,행사/공연/축제
서울 라이프스타일 투어,서울특별시 용산구 이태원로 153 (이태원동),126.9910180052,37.5346581754,02-458-3315,A02,A0207,A02070200,3372360,15,행사/공연/축제
서울 미디어아트 페스티벌(SMAF),서울특별시 강남구 영동대로 511 (삼성동),127.0610512042,37.5103955843,02-6000-0114,A02,A0207,A02070200,3439947,15,행사/공연/축제
서울 버스커 페스티벌,서울특별시 용산구 양녕로 445,126.9580520415,37.5177178854,02-6958-5444,A02,A0207,A02070200,2833059,15,행사/공연/축제
서울 빛초롱 축제,서울특별시 종로구 서린동,126.9790653347,37.5693205997,02-3788-8168,A02,A0207,A02070200,1095732,15,행사/공연/축제
서울 아시테지 겨울축제,서울특별시 종로구 대학로12길 46 (동숭동),127.0037293912,37.5821140004,02-745-5863,A02,A0208,A02080200,142033,15,행사/공연/축제
서울 왕궁수문장 교대의식,서울특별시 중구 세종대로 99 (정동),126.9765906796,37.5651071556,02-6242-7402,A02,A0208,A02080100,292961,15,행사/공연/축제
서울K-가족축제,서울특별시 광진구 능동로 216 (능동),127.0762792676,37.5493552228,02-477-2023,A02,A0207,A02070200,2989710,15,행사/공연/축제
서울百화점 - Local to Seoul 100 Diaries,서울특별시 중구 통일로 1 (봉래동2가),126.9716247231,37.5560109019,02-3407-3500,A02,A0208,A02080500,3487449,15,행사/공연/축제
서울가든페스타,서울특별시 성동구 뚝섬로 273 (성수동1가),127.0418131384,37.5431247707,02-6941-0113,A02,A0207,A02070200,3484268,15,행사/공연/축제
서울거리예술축제,서울특별시 중구 태평로1가,126.9777044385,37.5661348341,02-758-2036,A02,A0207,A02070200,706180,15,행사/공연/축제
서울국악축제,서울특별시 종로구 종로1길 45 (세종로),126.9783985779,37.5746727436,1800-4746,A02,A0207,A02070200,2616325,15,행사/공연/축제
서울국제도서전,서울특별시 강남구 영동대로 513 (삼성동),127.0592179950,37.5119175967,02-702-0670,A02,A0207,A02070200,228985,15,행사/공연/축제
서울국제작가축제,서울특별시 종로구 인사동9길 26 (견지동),126.9836425781,37.5734729769,070-8826-5207,A02,A0208,A02081300,1018469,15,행사/공연/축제
서울드럼페스티벌,서울특별시 용산구 양녕로 445 (이촌동),126.9580520415,37.5177178854,02-537-7109,A02,A0207,A02070200,1008843,15,행사/공연/축제
서울디자인 2024,서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.5661076320,02-550-2512,A02,A0208,A02081300,3011280,15,행사/공연/축제
서울라이트 DDP : 새해맞이 카운트다운,서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.5661076320,02-2153-0000,A02,A0207,A02070200,3041566,15,행사/공연/축제
서울라이트 DDP 가을,서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.5661076320,02-2153-0000,A02,A0207,A02070200,2640874,15,행사/공연/축제
서울라이트 광화문,서울특별시 종로구 세종로 1-68 5호선 광화문역,126.9767821434,37.5716786179,070-5221-3750,A02,A0207,A02070200,3073454,15,행사/공연/축제
서울라이트 한강 빛섬축제,서울특별시 광진구 강변북로 2273 (자양동),127.0739939307,37.5294186076,02-6952-4907,A02,A0207,A02070200,3012095,15,행사/공연/축제
서울문학축제,서울특별시 중구 태평로1가,126.9776099140,37.5692650243,02-2268-9210,A02,A0207,A02070200,3387827,15,행사/공연/축제
서울바비큐페스타,서울특별시 마포구 하늘공원로 108-2 (상암동),126.8781800855,37.5694354462,02-2088-4269,A02,A0207,A02070200,3521741,15,행사/공연/축제
서울발레페스티벌,서울특별시 송파구 석촌호수로 191 (잠실동),127.0982590305,37.5068300012,02-3442-2637,A02,A0207,A02070200,3021908,15,행사/공연/축제
서울생활예술페스티벌,서울특별시 송파구 올림픽로 25 (잠실동),127.0735805889,37.5114817947,02-758-2020,A02,A0207,A02070200,3113548,15,행사/공연/축제
서울서커스페스티벌,서울특별시 용산구 양녕로 445 (이촌동),126.9580520415,37.5177178854,02-758-2036,A02,A0208,A02081300,2816502,15,행사/공연/축제
서울세계도시문화축제,서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.5661076320,070-5143-5662,A02,A0207,A02070200,2738786,15,행사/공연/축제
서울스트리트댄스페스티벌,서울특별시 강서구 화곡로63길 65 (등촌동),126.8492608192,37.5581279115,02-2272-1917,A02,A0207,A02070200,2728896,15,행사/공연/축제
서울스프링페스타,서울특별시 종로구 세종대로 175 세종이야기,126.9768376784,37.5722341099,070-4880-4807,A02,A0207,A02070200,2828328,15,행사/공연/축제
서울썸머바이브,서울특별시 용산구 양녕로 445 (이촌동),126.9580520415,37.5177178854,02-758-2045<br>0505-6957-9839,A02,A0207,A02070200,3493133,15,행사/공연/축제
서울썸머비치,서울특별시 종로구 세종대로 지하172 (세종로),126.9767821434,37.5716786179,070-4048-5241,A02,A0207,A02070200,3509884,15,행사/공연/축제
서울아프리카페스티벌,서울특별시 서초구 신반포로11길 40 (반포동),126.9927658294,37.5077391108,02-6082-0801,A02,A0207,A02070200,2487791,15,행사/공연/축제
서울안전한마당,서울특별시 영등포구 여의공원로 120 (여의도동),126.9266990058,37.5296770464,02-3706-1541,A02,A0207,A02070200,1805176,15,행사/공연/축제
"서울야외도서관 〈책읽는 성북: 숲, 색을 입히다〉",서울특별시 성북구 화랑로13가길 110-10 (하월곡동),127.0409779755,37.6102086262,02-6952-1806,A02,A0208,A02081300,3384311,15,행사/공연/축제
서울억새축제,서울특별시 마포구 하늘공원로 95 (상암동),126.8861432556,37.5691522880,02-300-5581,A02,A0207,A02070200,626944,15,행사/공연/축제
서울와우북페스티벌,서울특별시 마포구 양화로 72 서교동 효성 해링턴 타워,126.9167298722,37.5508549625,02-312-1581,A02,A0207,A02070200,229057,15,행사/공연/축제
서울일러스트레이션페어V.19,서울특별시 강남구 영동대로 513 (삼성동),127.0592179950,37.5119175967,02-2602-8602,A02,A0208,A02080500,2718984,15,행사/공연/축제
서울조각페스티벌,서울특별시 중구 세종대로 110 (태평로1가),126.9777210995,37.5662570431,02-2133-4234,A02,A0208,A02081300,3479542,15,행사/공연/축제
서울청소년페스티벌,서울특별시 광진구 능동로 216 (능동),127.0762792676,37.5493552228,02-701-7549<br>010-5059-4937,A02,A0207,A02070200,3393411,15,행사/공연/축제
서울커피앤티페어,서울특별시 서초구 강남대로 27,127.0390127336,37.4683111849,02-588-2489,A02,A0207,A02070200,2500608,15,행사/공연/축제
서울프린지페스티벌2025,서울특별시 마포구 월드컵북로 75 (성산동),126.9158380144,37.5605066025,02-325-8150,A02,A0208,A02080200,142193,15,행사/공연/축제
서울함 페스티벌,서울특별시 마포구 마포나루길 407 (망원동),126.8939679181,37.5558400869,02-332-7500,A02,A0207,A02070200,3116227,15,행사/공연/축제
서초뮤직앤아트페스티벌(SMAF),서울특별시 서초구 신반포로 194 (반포동),127.0055841495,37.5062061855,02-3477-2808,A02,A0207,A02070200,2989981,15,행사/공연/축제
서초책있는거리 10월 북캠프,서울특별시 서초구 반포대로 201 (반포동),127.0045483736,37.4976821568,02-2155-8636~8,A02,A0207,A02070200,3382981,15,행사/공연/축제
서초책있는거리 6월 북캉스,서울특별시 서초구 반포대로 201 (반포동),127.0045483736,37.4976821568,02-2155-8636~8,A02,A0207,A02070200,3306335,15,행사/공연/축제
서커스데이,서울특별시 강서구 마곡동로 161 (마곡동),126.8360144928,37.5692236076,010-2408-3678,A02,A0207,A02070200,3357317,15,행사/공연/축제
석계역 달빛야행,서울특별시 노원구 월계동,127.0642451532,37.6153445600,02-2116-3487(노원구청 일자리경제과),A02,A0207,A02070200,3359644,15,행사/공연/축제
선농대제,서울특별시 동대문구 무학로44길 38 (제기동),127.0319046265,37.5812368301,02-3295-5566,A02,A0207,A02070200,3484594,15,행사/공연/축제
성동구 구립도서관 북 페스티벌,서울특별시 성동구 성수동1가,127.0388022367,37.5454244491,02-2204-6424,A02,A0207,A02070200,3380161,15,행사/공연/축제
성북 MOA 마켓,서울특별시 성북구 동소문동2가,127.0067150561,37.5882522289,02-927-9501,A02,A0208,A02081300,3495416,15,행사/공연/축제
성북 책모꼬지 <성북은_도서관>,서울특별시 성북구 화랑로18자길 13 (상월곡동),127.0506050239,37.6050260688,02-6906-9285,A02,A0207,A02070200,2434313,15,행사/공연/축제
성북거리문화축제 <다다페스타>,서울특별시 성북구 석관동,127.0605761839,37.6104117333,02-6906-3106,A02,A0207,A02070200,3348362,15,행사/공연/축제
성북구 사회적경제한마당 모두의 향연,서울특별시 성북구 보문로 168 (삼선동5가),127.0167863252,37.5894939323,02-927-9501,A02,A0207,A02070200,3368645,15,행사/공연/축제
성북동문화유산야행,서울특별시 성북구 성북로 58 (성북동),127.0024264259,37.5929238311,070-8670-1797,A02,A0207,A02070200,2491558,15,행사/공연/축제
성북세계음식축제 누리마실,서울특별시 성북구 성북로 37 (성북동1가),127.0032597348,37.5911073903,02-6906-9299,A02,A0207,A02070200,2001015,15,행사/공연/축제
세계 민속춤 축제,서울특별시 성동구 행당동,127.0370908186,37.5617419670,02-2286-5207,A02,A0207,A02070200,2999875,15,행사/공연/축제
세계유산 조선왕릉축전,서울특별시 강남구 선릉로100길 1 (삼성동),127.0475969642,37.5071957139,1522-2295,A02,A0207,A02070200,2756476,15,행사/공연/축제
송파구 호수벚꽃축제,서울특별시 송파구 송파나루길 206 (신천동),127.1042611168,37.5119517366,02-2147-2800,A02,A0207,A02070200,1592898,15,행사/공연/축제
수라간 시식공감,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,1522-2295,A02,A0207,A02070200,2601364,15,행사/공연/축제
수문장 교대의식,서울특별시 종로구 사직로 161,126.9767235747,37.5801859611,02-3210-1645~6,A02,A0208,A02080100,141661,15,행사/공연/축제
숭례문 파수의식 / 원데이! 파수군,서울특별시 중구 세종대로 40 (남대문로4가),126.9753770466,37.5599827296,010-2802-2133,A02,A0208,A02081300,3107059,15,행사/공연/축제
쉬엄쉬엄 한강 3종 축제,서울특별시 광진구 능동로 10 (자양동),127.0667334178,37.5316404411,1544-5340,A02,A0208,A02081300,3114311,15,행사/공연/축제
스니커콘 서울 (Sneaker Con SEOUL),서울특별시 성동구 연무장15길 11 (성수동2가),127.0594809973,37.5423085165,02-1661-0118,A02,A0208,A02081300,3338253,15,행사/공연/축제
스프링워크서울,서울특별시 마포구 한강난지로 162 (상암동),126.8851546298,37.5630252055,070-4705-2008,A02,A0208,A02081300,2949644,15,행사/공연/축제
싱크 넥스트 25(Sync Next 25),서울특별시 종로구 세종대로 175 (세종로),126.9763210635,37.5720618985,02-399-1000,A02,A0208,A02081000,3494082,15,행사/공연/축제
아이가 행복입니다,서울특별시 송파구 올림픽로 300 (신천동),127.1040749597,37.5141653654,1551-3159,A02,A0207,A02070200,2666388,15,행사/공연/축제
아차산 해맞이 축제,서울특별시 광진구 광장동,127.0999520311,37.5522275380,02-450-7596,A02,A0207,A02070200,674004,15,행사/공연/축제
안양천 빛축제,서울특별시 구로구 신도림동,126.8767818560,37.5110699828,02-860-2282,A02,A0207,A02070200,3384223,15,행사/공연/축제
알리다 페스티벌,서울특별시 용산구 양녕로 445 (이촌동),126.9580520415,37.5177178854,010-2360-9006,A02,A0207,A02070200,3369895,15,행사/공연/축제
압구정로데오 페스티벌,서울특별시 강남구 도산대로45길 20 (신사동),127.0356170227,37.5240046579,010-2303-3304,A02,A0207,A02070200,3385983,15,행사/공연/축제
양재 아트 살롱,서울특별시 서초구 양재동,127.0415261579,37.4766713709,070-7712-0507,A02,A0207,A02070200,3011948,15,행사/공연/축제
양재 플라워 페스타,서울특별시 서초구 강남대로 27 (양재동),127.0407514903,37.4673918780,02-423-7088,A02,A0207,A02070200,2618530,15,행사/공연/축제
양재천 벚꽃 등(燈) 축제,서울특별시 서초구 양재동,127.0415289351,37.4766658159,02-2155-8607,A02,A0207,A02070200,2540520,15,행사/공연/축제
