title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
갤럭시 롯데 스타시티점,서울특별시 광진구 능동로 92,127.0712300203,37.5390535504,,A04,A0401,A04011000,2918406,38,쇼핑
갤럭시 롯데 잠실점,서울특별시 송파구 올림픽로 240 5층,127.0976311526,37.5123821225,,A04,A0401,A04011000,2917595,38,쇼핑
갤럭시 빨질렐리 현대가든파이브,"서울특별시 송파구 충민로 66, 4층",127.1249768726,37.4776672007,,A04,A0401,A04011000,2924240,38,쇼핑
갤럭시 신세계강남점,서울특별시 서초구 신반포로 176,127.0035815712,37.5056062193,,A04,A0401,A04011000,2922392,38,쇼핑
갤럭시 현대 디큐브,서울특별시 구로구 경인로 662,126.8884169673,37.5089148857,,A04,A0401,A04011000,2928402,38,쇼핑
갤럭시 현대 목동점,서울특별시 양천구 목동동로257,126.8747288364,37.5263292843,,A04,A0401,A04011000,2922391,38,쇼핑
갤럭시 현대 천호점,서울특별시 강동구 천호대로 1005,127.1244557316,37.5390267349,,A04,A0401,A04011000,2903096,38,쇼핑
갤럭시라이프스타일 롯데 강남점,서울특별시 강남구 도곡로 401,127.0534550587,37.4967859168,,A04,A0401,A04011000,2927063,38,쇼핑
갤럭시라이프스타일 롯데 관악점,서울특별시 관악구 봉천로 209,126.9249974851,37.4905482278,,A04,A0401,A04011000,2926573,38,쇼핑
갤럭시라이프스타일 롯데 스타시티점,서울특별시 광진구 능동로 92,127.0712300203,37.5390535504,,A04,A0401,A04011000,2918393,38,쇼핑
갤럭시라이프스타일 롯데 청량리점,서울특별시 동대문구 왕산로 214 5층,127.0474754499,37.5805510796,,A04,A0401,A04011000,2918409,38,쇼핑
갤럭시라이프스타일 신세계 강남점,서울특별시 서초구 신반포로 176,127.0035815712,37.5056062193,,A04,A0401,A04011000,2930411,38,쇼핑
갤럭시라이프스타일 현대 목동점,서울특별시 양천구 목동동로257,126.8747288364,37.5263292843,,A04,A0401,A04011000,2922390,38,쇼핑
갤럭시라이프스타일 현대 미아점,서울특별시 성북구 동소문로 315,127.0287930253,37.6084530555,,A04,A0401,A04011000,2922660,38,쇼핑
게스,서울특별시 용산구 한강대로 405 (동자동),126.9717469660,37.5548915897,,A04,A0401,A04011000,3305814,38,쇼핑
게스 2001아울렛 중계,서울특별시 노원구 동일로204가길 46 (중계동),127.0679274101,37.6413416033,,A04,A0401,A04011000,3306700,38,쇼핑
게스 두타,서울특별시 중구 장충단로 275,127.0088293006,37.5689100708,,A04,A0401,A04011000,2902395,38,쇼핑
게스 롯데팩토리 가산,서울특별시 금천구 벚꽃로 278 (가산동),126.8846459143,37.4795432303,,A04,A0401,A04011000,3305477,38,쇼핑
게스 현대동대문,서울특별시 중구 장충단로13길 20,127.0076821872,37.5687878415,,A04,A0401,A04011000,2911704,38,쇼핑
게스진,서울특별시 영등포구 영중로 9 (영등포동4가),126.9055901684,37.5172308925,,A04,A0401,A04011000,3306540,38,쇼핑
겐조,서울특별시 영등포구 영중로 9 (영등포동4가),126.9055901684,37.5172308925,,A04,A0401,A04011000,3307010,38,쇼핑
겐조 롯데백화점 에비뉴엘 월드타워점,서울특별시 송파구 올림픽로 300¸ 3층,127.1040749597,37.5141653654,,A04,A0401,A04011000,2924211,38,쇼핑
견지동 불교용품거리,서울특별시 종로구 우정국로 55,126.9819927000,37.5744783860,,A04,A0401,A04010600,132205,38,쇼핑
경동시장,서울특별시 동대문구 고산자로36길 3,127.0391568047,37.5790899880,,A04,A0401,A04010200,948730,38,쇼핑
경창시장,서울특별시 양천구 오목로9길 30 (신월동),126.8424040460,37.5248733216,,A04,A0401,A04010200,2611310,38,쇼핑
고궁마실,서울특별시 종로구 창경궁로 229,126.9978910234,37.5825082936,,A04,A0401,A04010600,2503117,38,쇼핑
고디바_광화문점,"서울특별시 종로구 세종대로 159(세종로,1층102호,2층,3층)",126.9763349907,37.5706565064,,A04,A0401,A04011000,2893631,38,쇼핑
고디바_코엑스몰,"서울특별시 강남구 영동대로 513(삼성동,코엑스몰지하1층 112호)",127.0592179950,37.5119175967,,A04,A0401,A04011000,2893635,38,쇼핑
고분다리전통시장,서울특별시 강동구 구천면로34길 8 (천호동),127.1316577579,37.5424098057,,A04,A0401,A04010200,2741571,38,쇼핑
고세,서울특별시 강북구 도봉로 62 (미아동),127.0305315802,37.6146468109,,A04,A0401,A04011000,3306040,38,쇼핑
고세,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",126.8884169673,37.5089148857,,A04,A0401,A04011000,3307135,38,쇼핑
고세 현대가든파이브,서울특별시 송파구 충민로66 3층,127.1249768726,37.4776672007,,A04,A0401,A04011000,2924582,38,쇼핑
고속터미널 꽃도매상가,서울특별시 서초구 신반포로 194,127.0075478821,37.5054063136,,A04,A0401,A04010600,132230,38,쇼핑
고속터미널 의류도매상가,서울특별시 서초구 신반포로 194,127.0075478821,37.5054063136,02-535-2212,A04,A0401,A04010600,132184,38,쇼핑
고야드 갤러리아EAST,서울특별시 강남구 압구정로 407,127.0418357887,37.5279681978,,A04,A0401,A04011000,2925743,38,쇼핑
고야드 신세계강남,서울특별시 서초구 신반포로 176,127.0035815712,37.5056062193,,A04,A0401,A04011000,2906689,38,쇼핑
고야드 현대무역,"서울특별시 강남구 테헤란로 517 , 1층",127.0597791462,37.5086679839,,A04,A0401,A04011000,2925786,38,쇼핑
고이비토 강남본점,서울특별시 서초구 반포대로 310-3,127.0009651095,37.5067838133,,A04,A0401,A04011000,2930565,38,쇼핑
고척근린시장,서울특별시 구로구 고척로32길 11-3 (고척동),126.8498040086,37.5021872007,,A04,A0401,A04010200,2743854,38,쇼핑
고투몰(강남터미널 지하쇼핑몰),서울특별시 서초구 신반포로 지하200 (잠원동),127.0050675283,37.5062728353,02-535-8182,A04,A0401,A04010600,132492,38,쇼핑
골드리아 종로3가,서울특별시 종로구 돈화문로 50 골드리아빌딩 1층,126.9916474173,37.5730231730,,A04,A0401,A04011000,2911463,38,쇼핑
골든구스현대무역점,서울특별시 강남구 테헤란로 517 2층,127.0597791462,37.5086679839,,A04,A0401,A04011000,2918628,38,쇼핑
골든듀 건대스타시티,서울특별시 광진구 능동로 92,127.0712300203,37.5390535504,,A04,A0401,A04011000,2911556,38,쇼핑
골든듀 디큐브시티,서울특별시 구로구 경인로 662,126.8884169673,37.5089148857,,A04,A0401,A04011000,2902703,38,쇼핑
골든듀 롯데미아,서울특별시 강북구 도봉로 62 롯데백화점 미아점,127.0305315802,37.6146468109,,A04,A0401,A04011000,2931854,38,쇼핑
골든듀 롯데본점,서울특별시 중구 남대문로 81,126.9817485525,37.5647822864,,A04,A0401,A04011000,2914606,38,쇼핑
골든듀 롯데잠실,서울특별시 송파구 올림픽로 240,127.0976311526,37.5123821225,,A04,A0401,A04011000,2910616,38,쇼핑
골든듀 롯데청량리,서울특별시 동대문구 왕산로 214,127.0474754499,37.5805510796,,A04,A0401,A04011000,2901176,38,쇼핑
골든듀 현대무역,서울특별시 강남구 테헤란로 517,127.0597791462,37.5086679839,,A04,A0401,A04011000,2915643,38,쇼핑
골든듀 현대신촌,서울특별시 서대문구 신촌로 83,126.9358252045,37.5561435782,,A04,A0401,A04011000,2915272,38,쇼핑
골든듀 현대천호,서울특별시 강동구 천호대로 1005 현대백화점,127.1244557316,37.5390267349,,A04,A0401,A04011000,2900988,38,쇼핑
골목안경 논현,서울특별시 강남구 학동로33길 15,127.0323092246,37.5157416692,,A04,A0401,A04011000,2931159,38,쇼핑
골프샵,서울특별시 영등포구 영중로 9 (영등포동4가),126.9055901684,37.5172308925,,A04,A0401,A04011000,3307598,38,쇼핑
골프존마켓,서울특별시 용산구 한강대로 405 (동자동),126.9717469660,37.5548915897,,A04,A0401,A04011000,3305472,38,쇼핑
골프존마켓,서울특별시 성북구 동소문로 315 (길음동),127.0287930253,37.6084530555,,A04,A0401,A04011000,3306000,38,쇼핑
골프존마켓,서울특별시 금천구 디지털로10길 9 (가산동),126.8890705637,37.4776713039,,A04,A0401,A04011000,3306544,38,쇼핑
골프존마켓 당산,"서울특별시 영등포구 선유로 233 (양평동4가,누리빌딩) 1층",126.8958516947,37.5340065474,,A04,A0401,A04011000,2930951,38,쇼핑
골프존마켓 마곡,서울특별시 강서구 양천로 376,126.8438305125,37.5668712424,,A04,A0401,A04011000,2915786,38,쇼핑
골프존마켓 압구정,"서울특별시 강남구 도산대로 172 (논현동), 13호(논현동)",127.0275123442,37.5190939714,,A04,A0401,A04011000,2930976,38,쇼핑
골프존마켓 약수,서울특별시 중구 동호로 214 (신당동),127.0094962441,37.5570170202,,A04,A0401,A04011000,2909742,38,쇼핑
골프존마켓 잠실,서울특별시 송파구 삼전로 71 (잠실동),127.0885155148,37.5053355548,,A04,A0401,A04011000,2922944,38,쇼핑
골프존마켓 현대가든파이브,"서울특별시 송파구 충민로 66 (문정동,가든파이브라이프) 4층",127.1249768726,37.4776672007,,A04,A0401,A04011000,2926712,38,쇼핑
공릉동도깨비시장,서울특별시 노원구 동일로180길 53 (공릉동),127.0771743155,37.6229161347,,A04,A0401,A04010200,2743742,38,쇼핑
관악신사시장,서울특별시 관악구 신사로14길 56,126.9178454723,37.4865096802,,A04,A0401,A04010200,2753923,38,쇼핑
광야 서울,서울특별시 성동구 왕십리로 83-21 아크로 서울포레스트,127.0432879644,37.5445357444,,A04,A0401,A04010600,2988778,38,쇼핑
광장시장,서울특별시 종로구 창경궁로 88,126.9997217621,37.5701653166,,A04,A0401,A04010200,132183,38,쇼핑
광장시장 365일장,서울특별시 종로구 종로32길 21 (종로5가),127.0013271719,37.5701459033,,A04,A0401,A04010600,3354975,38,쇼핑
광장시장 한복매장,서울특별시 종로구 창경궁로 88 (예지동),126.9980663554,37.5702347233,,A04,A0401,A04010200,1013527,38,쇼핑
광주요 한남,서울특별시 용산구 한남대로20길 28 (한남동),127.0084386324,37.5349251234,,A04,A0401,A04011000,3306266,38,쇼핑
광화문 세종클럽,서울특별시 종로구 새문안로5가길 7,126.9740629139,37.5728312129,,A05,A0502,A05020700,2543919,38,쇼핑
교보문고 강남점,서울특별시 서초구 강남대로 465,127.0241241961,37.5038095744,,A04,A0401,A04011000,2926545,38,쇼핑
교보문고 동대문점,서울특별시 중구 을지로6가 17-2,127.0076821872,37.5687878415,,A04,A0401,A04011000,2927049,38,쇼핑
구구스 롯데 명동점,서울특별시 중구 남대문로7길 11,126.9812625150,37.5637462871,,A04,A0401,A04011000,2916097,38,쇼핑
구구스 압구정점,서울특별시 강남구 선릉로 846,127.0408442258,37.5274960129,,A04,A0401,A04011000,2916099,38,쇼핑
구로 중앙유통단지,서울특별시 구로구 경인로53길 15,126.8746156713,37.5009544532,,A04,A0401,A04010600,132420,38,쇼핑
구로시장,서울특별시 구로구 구로동로22길 17-4 (구로동),126.8856260957,37.4896837364,,A04,A0401,A04010200,2592394,38,쇼핑
구일일스포츠 논현,서울특별시 강남구 논현로 616 (논현동),127.0335676386,37.5088369379,,A04,A0401,A04011000,2909578,38,쇼핑
구찌,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",126.8884169673,37.5089148857,,A04,A0401,A04011000,3305340,38,쇼핑
구찌 가옥,서울특별시 용산구 이태원로 223 (한남동),126.9985506278,37.5355193212,,A04,A0401,A04011200,3080714,38,쇼핑
구찌 갤러리아,서울특별시 강남구 압구정로 343,127.0400692668,37.5285292127,,A04,A0401,A04011000,2907570,38,쇼핑
구찌 남성 갤러리아,서울특별시 강남구 압구정로 343,127.0400692668,37.5285292127,,A04,A0401,A04011000,2929240,38,쇼핑
구찌 남성 롯데월드타워점,서울특별시 송파구 올림픽로 300,127.1040749597,37.5141653654,,A04,A0401,A04011000,2924579,38,쇼핑
구찌 남성 신세계 강남점,서울특별시 서초구 신반포로 176 6층,127.0035815712,37.5056062193,,A04,A0401,A04011000,2911911,38,쇼핑
구찌 롯데 본점,서울특별시 중구 을지로 30 1층,126.9810458210,37.5654016461,,A04,A0401,A04011000,2908263,38,쇼핑
구찌 신세계 강남점,서울특별시 서초구 신반포로 176,127.0035815712,37.5056062193,,A04,A0401,A04011000,2907617,38,쇼핑
구찌 신세계 본점,서울특별시 중구 소공로 63,126.9810181709,37.5609966018,,A04,A0401,A04011000,2907426,38,쇼핑
구찌 청담점,서울특별시 강남구 압구정로 462,127.0465409962,37.5251213908,,A04,A0401,A04011000,2907645,38,쇼핑
구찌 현대 목동점,서울특별시 양천구 목동동로257,126.8747288364,37.5263292843,,A04,A0401,A04011000,2908461,38,쇼핑
구찌 현대 본점,서울특별시 강남구 압구정로 165,127.0274843337,37.5274180039,,A04,A0401,A04011000,2907422,38,쇼핑
구찌 현대 코엑스점,서울특별시 강남구 테헤란로 517,127.0597791462,37.5086679839,,A04,A0401,A04011000,2907553,38,쇼핑
구찌RTW 신세계 강남점,서울특별시 서초구 신반포로 176 2층,127.0035815712,37.5056062193,,A04,A0401,A04011000,2929257,38,쇼핑
구호,서울특별시 영등포구 영중로 9 (영등포동4가),126.9055901684,37.5172308925,,A04,A0401,A04011000,3306224,38,쇼핑
구호 한남점,서울특별시 용산구 이태원로 253,127.0005948309,37.5374719089,,A04,A0401,A04011000,2894933,38,쇼핑
국제자수원 3호점,서울특별시 종로구 인사동길 41,126.9847702401,37.5739368319,,A04,A0401,A04010900,969943,38,쇼핑
굿모닝안경,서울특별시 중구 남대문시장길 61,126.9794405432,37.5607715998,,A04,A0401,A04011000,2907436,38,쇼핑
굿약국 강남,서울특별시 서초구 서초대로77길 24,127.0260074633,37.5000739310,,A04,A0401,A04011000,2912557,38,쇼핑
굿약국 신사,"서울특별시 강남구 도산대로 120, 1층(논현동,청호빌딩)",127.0218823665,37.5167830277,,A04,A0401,A04011000,2911181,38,쇼핑
궁가는여우,서울특별시 종로구 자하문로 3 (내자동),126.9723657428,37.5764807580,,A04,A0401,A04010600,2484146,38,쇼핑
그녀의헤어라인의원,서울특별시 강남구 논현로 826 (신사동),127.0285621581,37.5222797312,,A04,A0401,A04011000,3306831,38,쇼핑
그라피,서울특별시 관악구 봉천로 209 (봉천동),126.9249974851,37.4905482278,,A04,A0401,A04011000,3306843,38,쇼핑
그랑핸드 서촌,서울특별시 종로구 자하문로4길 14-2,126.9730406586,37.5772862325,,A04,A0401,A04010700,2997938,38,쇼핑
그래픽,서울특별시 용산구 회나무로39길 33 (이태원동),126.9936064792,37.5409852642,,A04,A0401,A04011200,3082679,38,쇼핑
그랭드보떼,"서울특별시 중구 남대문시장6길 34, 1층",126.9779851759,37.5587912485,,A04,A0401,A04011000,2910225,38,쇼핑
그레이마돈나 nc신구로,서울특별시 구로구 구로중앙로 152 (구로동),126.8827871414,37.5012129024,,A04,A0401,A04011000,3306779,38,쇼핑
그레이스 성형외과,"서울특별시 서초구 강남대로 623(잠원동 4,5층)",127.0187492994,37.5174606701,,A04,A0401,A04011000,2903302,38,쇼핑
그루브라임,서울특별시 중구 장충단로 275 (을지로6가),127.0088293006,37.5689100708,,A04,A0401,A04011000,3305878,38,쇼핑
그리다성형외과의원,서울특별시 강남구 강남대로 408,127.0275517903,37.4992684963,,A04,A0401,A04011000,2899825,38,쇼핑
그린조이 구로,서울특별시 구로구 구로동로 121-4(구로동),126.8840984566,37.4897003738,,A04,A0401,A04011000,2925119,38,쇼핑
글라스스토리 합정,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",126.9136829551,37.5498911308,,A04,A0401,A04011000,2904013,38,쇼핑
글램아이웨어 홍대,"서울특별시 마포구 어울마당로5길 23, 2층(서교동)",126.9192352428,37.5493190740,,A04,A0401,A04011000,2916067,38,쇼핑
글램외과,서울특별시 서초구 강남대로483 청호빌딩 2층,127.0236686375,37.5053871607,,A04,A0401,A04011000,2904733,38,쇼핑
금강,서울특별시 관악구 봉천로 209 (봉천동),126.9249974851,37.4905482278,,A04,A0401,A04011000,3306069,38,쇼핑
금강,서울특별시 영등포구 영중로 9 (영등포동4가),126.9055901684,37.5172308925,,A04,A0401,A04011000,3306469,38,쇼핑
금강안경 현대 본점,서울특별시 강남구 압구정로 165,127.0274843337,37.5274180039,,A04,A0401,A04011000,2908378,38,쇼핑
금강안경 현대무역,서울특별시 강남구 테헤란로 517,127.0597791462,37.5086679839,,A04,A0401,A04011000,2914059,38,쇼핑
금강제화 nc신구로,서울특별시 구로구 구로중앙로 152 (구로동),126.8827871414,37.5012129024,,A04,A0401,A04011000,3305368,38,쇼핑
금강제화 명동본점,서울특별시 중구 명동8길 30 (명동2가),126.9846816840,37.5624659415,02-753-9411,A04,A0401,A04010600,1304260,38,쇼핑
금남시장,서울특별시 성동구 독서당로 303-7 (금호동3가),127.0227286130,37.5485071360,,A04,A0401,A04010200,2743748,38,쇼핑
금박연,서울특별시 종로구 북촌로12길 24-12(가회동),126.9861726430,37.5826552880,,A04,A0401,A04011000,3306159,38,쇼핑
기린성형외과,서울특별시 서초구 서초대로77길 54,127.0248380533,37.5026263910,,A04,A0401,A04011000,2904722,38,쇼핑
기비키이스 현대가든파이브,"서울특별시 송파구 충민로 66, 2층",127.1249768726,37.4776672007,,A04,A0401,A04011000,2931832,38,쇼핑
기비키이스 현대가산,"서울특별시 금천구 디지털로10길 9 , 3층",126.8890705637,37.4776713039,,A04,A0401,A04011000,2902001,38,쇼핑
길동복조리시장,서울특별시 강동구 천호대로187길 62 (길동),127.1431985291,37.5369606466,,A04,A0401,A04010200,2741605,38,쇼핑
길음시장,서울특별시 성북구 동소문로 227 (길음동),127.0220132585,37.6024480763,,A04,A0401,A04010200,2779456,38,쇼핑
김안경,서울특별시 중구 남대문시장4길 9,126.9776907326,37.5597216902,,A04,A0401,A04011000,3306552,38,쇼핑
김안경,서울특별시 중구 남대문시장4길 9 (남창동),126.9776907326,37.5597216902,,A04,A0401,A04011000,3307183,38,쇼핑
김한성성형외과,서울특별시 강남구 강남대로 590 11층,127.0204158953,37.5145888113,,A04,A0401,A04011000,2905438,38,쇼핑
까르띠에 갤러리아,서울특별시 강남구 압구정로 407,127.0418357887,37.5279681978,,A04,A0401,A04011000,2907735,38,쇼핑
까르띠에 롯데에비뉴엘점,서울특별시 중구 남대문로 73,126.9816707967,37.5642573461,,A04,A0401,A04011000,2907781,38,쇼핑
까르띠에 롯데월드타워점,서울특별시 송파구 올림픽로 300,127.1040749597,37.5141653654,,A04,A0401,A04011000,2924459,38,쇼핑
까르띠에 신세계 강남점,서울특별시 서초구 신반포로 176,127.0035815712,37.5056062193,,A04,A0401,A04011000,2908498,38,쇼핑
까르띠에 현대 본점,서울특별시 강남구 압구정로 165,127.0274843337,37.5274180039,,A04,A0401,A04011000,2907750,38,쇼핑
까르띠에 현대 코엑스점,서울특별시 강남구 테헤란로 517,127.0597791462,37.5086679839,,A04,A0401,A04011000,2907778,38,쇼핑
까르벤정,서울특별시 관악구 봉천로 209 (봉천동),126.9249974851,37.4905482278,,A04,A0401,A04011000,3307330,38,쇼핑
까사미아 압구정,서울특별시 강남구 압구정로 102,127.0197018500,37.5224156676,,A04,A0401,A04011000,2930943,38,쇼핑
까사블랑,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",126.8884169673,37.5089148857,,A04,A0401,A04011000,3306566,38,쇼핑
까스텔바작,서울특별시 관악구 봉천로 209 (봉천동),126.9249974851,37.4905482278,,A04,A0401,A04011000,3305367,38,쇼핑
까스텔바작,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",126.8884169673,37.5089148857,,A04,A0401,A04011000,3306859,38,쇼핑
꼬르넬리아니 월드타워점,서울특별시 송파구 올림픽로 300¸ 4층,127.1040749597,37.5141653654,,A04,A0401,A04011000,2925580,38,쇼핑
꼼데가르송,서울특별시 용산구 이태원로 261,127.0012614171,37.5381662846,,A04,A0401,A04011000,2929206,38,쇼핑
꼼데가르송컬렉션현대무역점,서울특별시 강남구 테헤란로 517 3층,127.0597791462,37.5086679839,,A04,A0401,A04011000,2918284,38,쇼핑
꼼빠니아 현대동대문,서울특별시 중구 장충단로13길 20,127.0076821872,37.5687878415,,A04,A0401,A04011000,2906507,38,쇼핑
꾸즈,서울특별시 관악구 봉천로 209 (봉천동),126.9249974851,37.4905482278,,A04,A0401,A04011000,3307720,38,쇼핑
꾸즈 롯데팩토리가산,서울특별시 금천구 벚꽃로278,126.8846459143,37.4795432303,,A04,A0401,A04011000,2903017,38,쇼핑
꿈꾸는 성형외과의원,서울특별시 강남구 강남대로 422 (역삼동),127.0269990301,37.5004461278,,A04,A0401,A04011000,3307111,38,쇼핑
나나 성형외과의원,서울특별시 강남구 강남대로 492 (논현동),127.0241296820,37.5062592900,,A04,A0401,A04011000,3305788,38,쇼핑
나를위한 산부인과의원,서울특별시 강남구 강남대로 364 (역삼동),127.0293100678,37.4956022866,,A04,A0401,A04011000,3305926,38,쇼핑
나무그림,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",126.8884169673,37.5089148857,,A04,A0401,A04011000,3305294,38,쇼핑
나무다움 타임스퀘어,서울특별시 영등포구 영중로 15,126.9053818370,37.5178335971,,A04,A0401,A04011000,2917388,38,쇼핑
나스,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",126.8884169673,37.5089148857,,A04,A0401,A04011000,3306489,38,쇼핑
나우워치 에비뉴엘잠실,서울특별시 송파구 올림픽로 300,127.1040749597,37.5141653654,,A04,A0401,A04011000,2914769,38,쇼핑
나이스웨더마켓,서울특별시 강남구 강남대로162길 35 (신사동),127.0211906486,37.5208214350,,A04,A0401,A04011000,3305952,38,쇼핑
나이스클랍 2001아울렛 중계,서울특별시 노원구 동일로204가길 46 (중계동),127.0679274101,37.6413416033,,A04,A0401,A04011000,3306042,38,쇼핑
나이스클랍_롯데(아)가산점,서울특별시 금천구 벚꽃로 278 SJ테크노빌,126.8846459143,37.4795432303,,A04,A0401,A04011000,2894100,38,쇼핑
나이스클랍_롯데(아)서울역점,서울특별시 중구 한강대로 405 (봉래동2가),126.9717664185,37.5545416306,,A04,A0401,A04011000,2894099,38,쇼핑
나이스클랍_현대(아)송파점,서울특별시 송파구 충민로 66(문정동),127.1249768726,37.4776672007,,A04,A0401,A04011000,2894291,38,쇼핑
나이키,서울특별시 금천구 디지털로 185 (가산동),126.8872262708,37.4782600918,,A04,A0401,A04011000,3306172,38,쇼핑
나이키,서울특별시 성북구 동소문로 315 (길음동),127.0287930253,37.6084530555,,A04,A0401,A04011000,3306686,38,쇼핑
나이키,서울특별시 영등포구 영중로 9 (영등포동4가),126.9055901684,37.5172308925,,A04,A0401,A04011000,3307169,38,쇼핑
나이키 노원점,서울특별시 노원구 동일로 1414 8층,127.0614081608,37.6553315254,,A04,A0401,A04011000,2903230,38,쇼핑
나이키 두타,서울특별시 중구 장충단로 275,127.0088293006,37.5689100708,,A04,A0401,A04011000,2930973,38,쇼핑
나이키 롯데강남,"서울특별시 강남구 도곡로 401, 7층(대치동, 롯데백화점)",127.0534550587,37.4967859168,,A04,A0401,A04011000,2910381,38,쇼핑
나이키 롯데관악,"서울특별시 관악구 봉천로 209,5층(봉천동, 롯데백화점)",126.9249974851,37.4905482278,,A04,A0401,A04011000,2909240,38,쇼핑
나이키 롯데김포,서울특별시 강서구 하늘길 38,126.8029148466,37.5652540347,,A04,A0401,A04011000,2930446,38,쇼핑
